id,order_id,user_id,product_id,inventory_item_id,status,created_at,shipped_at,delivered_at,returned_at,sale_price
19626,13576,10899,13606,52845,Shipped,2023-02-14 17:04:52 UTC,2023-02-14 05:27:00 UTC,,,2.5
19819,13706,11004,28557,53368,Complete,2023-03-27 07:34:29 UTC,2023-03-27 20:31:00 UTC,2023-03-29 13:06:00 UTC,,3.25
167698,115558,92683,28557,453065,Processing,2023-03-06 22:52:06 UTC,,,,3.25
69361,47753,38276,28679,187105,Shipped,2023-01-26 01:15:11 UTC,2023-01-28 10:43:00 UTC,,,3.5
23917,16512,13244,15784,64423,Complete,2023-01-06 11:37:54 UTC,2023-01-03 18:28:00 UTC,2023-01-08 12:48:00 UTC,,3.5
77739,53495,42891,13696,209753,Complete,2023-03-11 03:11:27 UTC,2023-03-11 16:53:00 UTC,2023-03-14 08:22:00 UTC,,3.5
110132,75901,60881,15419,297369,Returned,2023-01-31 04:51:10 UTC,2023-02-01 09:49:00 UTC,2023-02-03 03:35:00 UTC,2023-02-05 11:44:00 UTC,3.5
22581,15581,12484,15917,60832,Cancelled,2023-01-20 15:29:18 UTC,,,,3.5
2987,2092,1695,15784,8067,Processing,2023-03-24 02:44:59 UTC,,,,3.5
130884,90250,72521,12602,353449,Processing,2023-02-06 23:12:32 UTC,,,,3.75
175798,121176,97135,12667,474967,Shipped,2023-02-14 12:09:56 UTC,2023-02-16 01:38:00 UTC,,,4
130459,89953,72274,25265,352317,Shipped,2023-01-26 05:30:16 UTC,2023-01-25 08:17:00 UTC,,,4.5
177759,122498,98211,24922,480207,Shipped,2023-03-17 02:36:54 UTC,2023-03-13 19:29:00 UTC,,,4.5
106057,73088,58653,28370,286255,Complete,2023-03-21 10:29:05 UTC,2023-03-20 21:32:00 UTC,2023-03-22 02:18:00 UTC,,4.5
76593,52699,42268,28370,206643,Returned,2023-02-01 11:32:56 UTC,2023-02-03 09:21:00 UTC,2023-02-03 10:42:00 UTC,2023-02-04 10:41:00 UTC,4.5
179492,123637,99086,24922,484871,Cancelled,2023-01-28 13:16:43 UTC,,,,4.5
82015,56465,45285,25265,221346,Processing,2023-03-03 08:17:54 UTC,,,,4.5
153103,105498,84600,28370,413569,Processing,2023-02-15 10:05:27 UTC,,,,4.5
147772,101874,81683,11016,399165,Shipped,2023-02-03 15:15:10 UTC,2023-02-06 01:49:00 UTC,,,5
20722,14307,11481,18719,55782,Complete,2023-03-11 01:33:15 UTC,2023-03-10 15:57:00 UTC,2023-03-12 20:54:00 UTC,,5
63259,43600,34881,9002,170595,Complete,2023-01-11 23:08:02 UTC,2023-01-11 21:29:00 UTC,2023-01-15 06:37:00 UTC,,5
81853,56351,45191,24793,220918,Complete,2023-03-16 11:56:55 UTC,2023-03-17 21:51:00 UTC,2023-03-22 01:12:00 UTC,,5
53570,36929,29555,18719,144413,Returned,2023-01-07 07:38:08 UTC,2023-01-09 17:01:00 UTC,2023-01-11 20:49:00 UTC,2023-01-13 19:25:00 UTC,5
23410,16155,12943,9002,63068,Cancelled,2023-01-17 09:30:09 UTC,,,,5
123153,84882,68182,24793,332544,Cancelled,2023-03-23 03:54:06 UTC,,,,5
26039,17987,14430,18719,70132,Processing,2023-04-03 09:07:22.931222 UTC,,,,5
55405,38204,30573,18719,149338,Processing,2023-04-01 04:47:45.197904 UTC,,,,5
62652,43169,34515,11016,168960,Processing,2023-02-05 14:57:32 UTC,,,,5
96916,66850,53711,9002,261610,Processing,2023-01-18 05:42:34 UTC,,,,5
140073,96556,77503,9380,378337,Shipped,2023-02-14 15:51:19 UTC,2023-02-17 13:09:00 UTC,,,5.5
147907,101971,81765,9085,399540,Shipped,2023-02-28 09:31:59 UTC,2023-02-24 19:16:00 UTC,,,5.5
106929,73695,59157,6250,288619,Complete,2023-04-02 00:26:14.335148 UTC,2023-04-02 21:09:57.335148 UTC,2023-04-05 21:21:57.335148 UTC,,5.5
122365,84323,67738,9085,330424,Processing,2023-03-02 12:34:44 UTC,,,,5.5
15517,10764,8647,13601,41706,Shipped,2023-01-28 03:22:26 UTC,2023-01-30 12:15:00 UTC,,,6
91949,63394,50954,12539,248189,Shipped,2023-03-29 09:10:36 UTC,2023-03-30 05:31:00 UTC,,,6
98361,67836,54475,15667,265520,Shipped,2023-03-27 13:29:26 UTC,2023-03-28 21:27:00 UTC,,,6
149192,102855,82482,28785,402980,Shipped,2023-01-02 06:00:33 UTC,2023-01-03 21:29:00 UTC,,,6
163056,112349,90097,12572,440546,Shipped,2023-04-04 00:54:57 UTC,2023-04-01 02:55:00 UTC,,,6
86853,59816,47975,9303,234428,Complete,2023-03-20 11:37:35 UTC,2023-03-19 12:28:00 UTC,2023-03-22 20:25:00 UTC,,6
88391,60917,48831,11029,238549,Complete,2023-03-05 02:04:34 UTC,2023-03-07 15:22:00 UTC,2023-03-11 19:24:00 UTC,,6
179772,123828,99226,15667,485642,Complete,2023-03-24 03:45:51 UTC,2023-03-25 02:43:00 UTC,2023-03-26 04:12:00 UTC,,6
39402,27182,21816,9303,106207,Returned,2023-02-04 08:26:23 UTC,2023-02-05 13:50:00 UTC,2023-02-10 05:55:00 UTC,2023-02-11 14:05:00 UTC,6
165097,113747,91219,12533,446013,Returned,2023-03-30 14:43:59 UTC,2023-04-01 22:27:00 UTC,2023-04-03 08:17:00 UTC,2023-04-03 18:11:00 UTC,6
39673,27374,21967,15878,106952,Cancelled,2023-02-14 07:47:57 UTC,,,,6
147565,101733,81589,28785,398613,Cancelled,2023-02-14 08:59:19 UTC,,,,6
22139,15263,12231,11029,59645,Processing,2023-03-26 03:05:38 UTC,,,,6
71464,49210,39460,12533,192756,Processing,2023-02-04 05:36:38 UTC,,,,6
102702,70784,56859,13840,277226,Processing,2023-01-20 11:29:36 UTC,,,,6
104104,71737,57596,13840,280995,Processing,2023-03-27 16:26:14 UTC,,,,6
158654,109296,87632,28785,428689,Processing,2023-02-14 02:02:31 UTC,,,,6
29719,20505,16396,15674,80024,Shipped,2023-03-31 14:52:46.258137 UTC,2023-04-02 04:04:48.258137 UTC,,,6.25
51434,35459,28375,15674,138667,Shipped,2023-03-23 07:57:51 UTC,2023-03-26 05:04:00 UTC,,,6.25
104147,71765,57619,13842,281108,Complete,2023-01-18 01:59:28 UTC,2023-01-20 20:55:00 UTC,2023-01-21 07:44:00 UTC,,6.25
19849,13729,11030,9240,53449,Shipped,2023-01-16 13:47:29 UTC,2023-01-18 04:31:00 UTC,,,6.5
24245,16748,13447,9254,65317,Shipped,2023-03-03 06:07:48 UTC,2023-03-06 06:17:00 UTC,,,6.5
37005,25488,20455,24954,99691,Shipped,2023-02-08 11:58:15 UTC,2023-02-10 00:49:00 UTC,,,6.5
56207,38770,31008,9051,151489,Shipped,2023-01-25 08:21:36 UTC,2023-01-26 14:10:00 UTC,,,6.5
83513,57496,46102,6243,225349,Shipped,2023-02-26 04:41:43 UTC,2023-02-23 14:32:00 UTC,,,6.5
106560,73429,58928,24954,287633,Shipped,2023-03-12 16:33:43 UTC,2023-03-14 16:33:00 UTC,,,6.5
22444,15481,12400,18229,60465,Complete,2023-02-25 03:38:23 UTC,2023-02-22 19:24:00 UTC,2023-02-26 16:43:00 UTC,,6.5
50118,34553,27664,9407,135123,Complete,2023-02-11 11:10:13 UTC,2023-02-14 02:12:00 UTC,2023-02-15 16:14:00 UTC,,6.5
59930,41319,33048,9201,161609,Complete,2023-02-14 17:43:20 UTC,2023-02-11 09:12:00 UTC,2023-02-11 10:43:00 UTC,,6.5
71717,49372,39595,24954,193455,Complete,2023-02-05 00:21:34 UTC,2023-02-05 19:30:00 UTC,2023-02-10 07:41:00 UTC,,6.5
73497,50588,40554,9430,198243,Complete,2023-03-30 02:13:27 UTC,2023-03-30 08:50:00 UTC,2023-03-31 08:06:00 UTC,,6.5
95218,65659,52767,24954,257000,Complete,2023-03-15 17:24:12 UTC,2023-03-13 21:31:00 UTC,2023-03-18 12:50:00 UTC,,6.5
111598,76922,61727,18229,301282,Complete,2023-01-25 15:46:36 UTC,2023-01-28 13:23:00 UTC,2023-01-28 23:59:00 UTC,,6.5
115201,79408,63765,9201,311034,Returned,2023-03-15 01:22:18 UTC,2023-03-14 10:10:00 UTC,2023-03-18 18:06:00 UTC,2023-03-20 00:53:00 UTC,6.5
10854,7549,6102,9240,29209,Cancelled,2023-01-10 15:53:56 UTC,,,,6.5
33935,23364,18764,9161,91434,Cancelled,2023-01-04 13:19:24 UTC,,,,6.5
34562,23795,19119,6243,93139,Cancelled,2023-02-09 06:49:09 UTC,,,,6.5
75272,51794,41523,9240,203053,Cancelled,2023-04-01 11:06:18.162425 UTC,,,,6.5
143079,98653,79140,9254,386513,Cancelled,2023-03-27 02:54:29 UTC,,,,6.5
38830,26777,21477,9294,104645,Processing,2023-01-28 00:39:23 UTC,,,,6.5
122178,84192,67629,9430,329927,Processing,2023-03-29 07:38:28 UTC,,,,6.5
154641,106561,85421,9240,417735,Processing,2023-04-02 15:44:10.282786 UTC,,,,6.5
65476,45106,36108,28595,176599,Complete,2023-02-04 03:51:23 UTC,2023-02-04 11:03:00 UTC,2023-02-05 02:13:00 UTC,,6.75
153268,105616,84693,28595,414019,Cancelled,2023-03-06 21:00:26 UTC,,,,6.75
91252,62919,50535,25558,246302,Shipped,2023-03-29 13:52:19 UTC,2023-04-01 00:40:00 UTC,,,7
113945,78518,63033,24905,307655,Shipped,2023-02-25 22:28:24 UTC,2023-02-27 03:41:00 UTC,,,7
123590,85200,68424,8892,333753,Shipped,2023-01-23 22:36:11 UTC,2023-01-24 20:30:00 UTC,,,7
128295,88434,71055,11783,346441,Shipped,2023-03-22 16:53:30 UTC,2023-03-24 10:22:00 UTC,,,7
164148,113100,90699,11783,443512,Shipped,2023-02-17 08:44:57 UTC,2023-02-14 14:02:00 UTC,,,7
2767,1937,1575,11783,7469,Complete,2023-03-29 16:16:22.688675 UTC,2023-03-31 08:25:01.688675 UTC,2023-04-02 11:17:01.688675 UTC,,7
52434,36176,28942,28848,141342,Complete,2023-03-14 03:26:14 UTC,2023-03-11 17:21:00 UTC,2023-03-14 15:43:00 UTC,,7
149768,103246,82775,15622,404507,Complete,2023-02-22 08:20:44 UTC,2023-02-24 13:52:00 UTC,2023-02-25 16:33:00 UTC,,7
153775,105952,84960,11782,415395,Complete,2023-03-14 23:07:06 UTC,2023-03-14 15:47:00 UTC,2023-03-15 06:26:00 UTC,,7
168757,116292,93265,12690,455944,Complete,2023-02-12 10:44:46 UTC,2023-02-15 10:25:00 UTC,2023-02-19 10:09:00 UTC,,7
93322,64340,51699,28848,251889,Cancelled,2023-03-03 22:30:16 UTC,,,,7
150418,103684,83147,15402,406310,Cancelled,2023-02-24 10:47:41 UTC,,,,7
152997,105426,84535,24905,413282,Cancelled,2023-03-15 14:38:31 UTC,,,,7
171293,118050,94621,12537,462798,Cancelled,2023-04-01 12:45:21 UTC,,,,7
27990,19318,15503,13810,75359,Processing,2023-02-18 08:28:03 UTC,,,,7
58192,40112,32109,13969,156870,Processing,2023-03-11 02:27:55 UTC,,,,7
82701,56939,45665,28848,223171,Processing,2023-02-21 07:54:01 UTC,,,,7
134100,92458,74321,12554,362106,Processing,2023-02-25 09:02:00 UTC,,,,7
163876,112914,90551,11000,442755,Processing,2023-02-21 12:59:16 UTC,,,,7
173069,119255,95592,15402,467558,Processing,2023-01-17 06:10:00 UTC,,,,7
178489,122959,98561,15863,482155,Processing,2023-03-31 14:52:24.416718 UTC,,,,7
